district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Qena,قنا,71.3,28.7,138344,47391,693,34.8,33796,13595
Qena district,مركز قنا,90.6,9.4,214878,41711,922,19.8,37775,3936
Abu Tesht district,مركز ابوتشت,87.5,12.5,227364,46098,1017,20.7,40354,5744
Deshna district,مركز دشنا,82.9,17.1,190678,29402,665,15.8,24368,5034
Qos district,مركز قوص,88.5,11.5,234602,52957,908,23,46879,6078
Nagaa Hamada ,مركز نجع حمادى,83,17,301798,72607,1279,24.5,60280,12327
Na'ada district,مركز نقادة,83.8,16.2,99974,21618,383,22,18114,3504
Farshut district,مركز فرشوط,87.4,12.6,99154,25548,392,26.2,22328,3220
Qaft district,مركز قفط,87.3,12.7,77108,16003,209,21,13971,2032
El Waqf district,مركز الوقف,89.3,10.7,45813,11174,275,25,9974,1200
Total,الإجمالي,84.5,15.5,1629713,364509,6743,22.8,307839,56670
