district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
قصر النيل,قصر النيل,15.5,84.5,32861,15865,143,48.7,2461,13404
Boulaq,بولاق,41.4,58.6,89383,25494,688,29.3,10548,14946
Azbakya,الأزبكية,26.5,73.5,34839,12461,260,36.5,3307,9154
Al Darb al-Ahmar,الدرب الأحمر,34.3,65.7,86751,27622,507,32.4,9480,18142
El Gamaliya ,الجمالية,39.9,60.1,100911,25888,664,26.3,10342,15546
Bab el-Shaariya,باب الشعرية,35.9,64.1,65612,22562,511,35.2,8096,14466
Al Zaher,الظاهر,26.7,73.3,78750,33268,501,42.9,8887,24381
El Sharabiya,الشرابية,49,51,212981,65868,1560,31.7,32278,33590
Shubra,شبرا,21.3,78.7,92132,34217,635,37.8,7284,26933
Al Tibbeen,التبين,76,24,78963,25512,408,32.8,19400,6112
Rod El Farag,روض الفرج,31.5,68.5,185636,62781,1185,34.5,19790,42991
Al Sahel,الساحل,34,66,349722,128098,2159,37.2,43615,84483
Al Waili,الوايلي,33.2,66.8,97914,35735,644,37.2,11853,23882
El-Quba,حدائق القبة,43.1,56.9,299118,101082,1782,34.4,43575,57507
Zeitoun,الزيتون,35.3,64.7,188886,73722,1176,39.7,26038,47684
Al Matrya ,المطرية,55.8,44.2,458758,145084,2152,32.1,81026,64058
Madinat Nasr 1,مدينة نصر أول,32.8,67.2,373776,171150,1680,46.2,56095,115055
Misr El Gedia,مصر الجديدة,22.9,77.1,169237,72093,762,43,16534,55559
Helwan,حلوان,61.9,38.1,448084,148472,2264,33.6,91960,56512
El Nozha,النزهة,23.9,76.1,185481,87781,809,47.8,20987,66794
Madinat Badr,مدينة بدر,64,36,6525,2696,50,42.1,1725,971
Ain Shams,عين شمس,46.6,53.4,369255,117780,1564,32.3,54850,62930
Elzawia El Hamra,الزاوية الحمراء,49.9,50.1,239751,72042,1136,30.5,35945,36097
Madinat Nasr 2,مدينة نصر ثان,37,63,54074,20992,353,39.5,7772,13220
Manshiyat Naser,منشية ناصر,57.6,42.4,93539,19596,585,21.6,11280,8316
AL Bassateen,البساتين,54.6,45.4,272308,72460,1113,27,39578,32882
15th of May District,خمسة عشر مايو,57.2,42.8,72265,32305,472,45.4,18481,13824
El Marg,المرج,61,39,296078,89956,1469,30.9,54916,35040
Shrooq,الشروق,48.7,51.3,14315,5976,24,41.9,2910,3066
New Cairo 1,أول القاهرة الجديدة,51.2,48.8,35584,17051,149,48.3,8738,8313
New Cairo 2,ثان القاهرة الجديدة,36.4,63.6,19971,9906,84,50,3605,6301
New Cairo 3,ثالث القاهرة الجديد,54.7,45.3,25049,10330,112,41.7,5654,4676
Amirya,الأميرية,52,48,141266,49185,697,35.3,25583,23602
Al Salam district 2,ثان السلام,54.4,45.6,62676,16282,450,26.7,8860,7422
Al Salam district 1,أول السلام,53.7,46.3,200490,56536,966,28.7,30337,26199
Al Salam district 1,المقطم,43.6,56.4,70488,26377,548,38.2,11489,14888
El Maadi,المعادي,37.9,62.1,185161,71601,914,39.2,27154,44447
Dar Es Salam,دار السلام,53.7,46.3,184557,52314,1062,28.9,28099,24215
Misr El Kadima,مصر القديمة,41.8,58.2,226993,71231,1445,32,29799,41432
Saida Zineb,السيدة زينب,32.6,67.4,159368,54529,1156,34.9,17799,36730
El Khalifa,الخليفة,42.2,57.8,128327,36804,802,29.3,15537,21267
Abdeen,عابدين,28,72,57619,23076,463,40.9,6462,16614
El Mosky,الموسكي,38.9,61.1,35024,10918,238,31.9,4242,6676
Total,الإجمالي,43.2,56.8,6580478,2254698,36342,34.8,974371,1280327
