district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Ismailia 1,الإسماعيلية أول,48.5,51.5,40290,16440,152,41.2,7975,8465
Ismailia 2,الإسماعيلية ثان,60.9,39.1,150561,56237,763,37.9,34276,21961
Ismailia district,مركز الإسماعيلية,83.7,16.3,81676,29563,409,36.7,24753,4810
Tall al kabir,مركز التل الكبير,77.1,22.9,112669,36381,561,32.8,28064,8317
El antara West district,مركز القنطرة غرب,79,21,70228,23586,317,34,18637,4949
Fayed district,مركز فايد,80.8,19.2,69922,21048,308,30.5,16997,4051
El Antara East,القنطرة شرق,77.4,22.6,28985,9929,139,34.7,7685,2244
Ismailia 3,الإسماعيلية ثالث,52.3,47.7,74747,35551,396,48.1,18594,16957
Abu Sweer ,ابو صوير,81,19,84885,27475,390,32.8,22254,5221
Total,الإجمالي,70,30,713963,256210,3435,36.4,179235,76975
