district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Assiout 1,أسيوط أول,57.3,42.7,162117,58507,759,36.6,33518,24989
Assiout 2,أسيوط ثان,53,47,104655,40685,646,39.5,21580,19105
Assiout district,مركز أسيوط,84.8,15.2,241887,65730,1537,27.8,55709,10021
Abu Abnoub,مركز أبنوب,82.3,17.7,178716,42604,1066,24.4,35046,7558
Abu Teej district,مركز أبوتيج,82.9,17.1,116422,20726,541,18.3,17188,3538
Badara district,مركز البداري,85.9,14.1,133064,29574,821,22.8,25393,4181
Sahel Slim district,مركز ساحل سليم,74.2,25.8,87322,21304,668,25.2,15815,5489
Ghanayem district,مركز الغنايم,90.8,9.2,66997,20445,488,31.2,18565,1880
Qawassiya district,مركز القوصية,70.2,29.8,231356,62551,2054,27.9,43905,18646
Dairut district,مركز ديروط,82.7,17.3,271781,78436,2226,29.7,64839,13597
Sadafa district,مركز صدفا,75.1,24.9,95618,27444,864,29.6,20609,6835
Manfalut district,مركز منفلوط,81.6,18.4,244665,60914,1506,25.5,49725,11189
EL Fath district,مركز الفتح,83.2,16.8,144577,37731,799,26.7,31405,6326
Abu Teej,أبوتيج,61.2,38.8,48511,15056,201,31.5,9209,5847
Total,الإجمالي,76.1,23.9,2127688,581707,14176,28,442506,139201
