district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Beni Suef,بني سويف,155331,95423,1253,62.2%,110,89,236,8260,18256,111,115,1082,28064,17375,30,532,21163
Suef el-Gedida,بني سويف الجديدة,3787,2647,17,70.3%,2,4,2,211,615,0,1,39,648,421,0,9,695
Beni Suef district,مركز بني سويف,185679,81162,3723,45.7%,161,130,148,7993,15729,115,145,573,17866,5474,71,355,32402
Nasser district,مركز ناصر,171044,76256,2787,46.2%,149,83,116,5841,17011,111,102,441,12278,3595,101,350,36078
Samasta district,مركز سمسطا,118591,46584,2298,41.2%,181,97,70,4544,9281,106,86,296,4074,2383,102,261,25103
Heracleopolis district,مركز اهناسيا,169240,55966,2281,34.4%,212,148,553,4628,12062,123,119,475,9796,2903,90,247,24610
Biya district,مركز ببا,204219,87289,3636,44.5%,275,180,153,7904,15119,148,171,703,17993,5847,128,477,38191
El wasty district,مركز الواسطى,215321,101896,3889,49.1%,209,150,122,9937,22324,182,134,801,13004,5448,124,511,48950
El Feshn district,مركز الفشن,198859,76053,3583,40.0%,222,163,132,8343,11619,151,157,527,16045,5047,121,415,33111
Total,الإجمالي,1422071,623276,23467,45.5%,1521,1044,1532,57661,122016,1047,1030,4937,119768,48493,767,3157,260303
