district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Qena,قنا,136437,59355,687,44.0%,121,90,102,6261,13537,231,52,650,16162,10795,32,338,10984
Qena district,مركز قنا,210804,41764,885,20.2%,169,89,85,11524,7025,81,99,407,5509,3813,31,199,12733
Abu Tesht district,مركز ابو تشت,222128,47774,1103,22.0%,214,115,95,15400,8100,94,108,369,6495,3395,56,197,13136
Deshna district,مركز دشنا,186719,33001,661,18.0%,142,91,85,8794,5404,47,61,309,7573,2281,41,133,8040
Qos district,مركز قوص,230559,53241,1310,23.7%,210,106,125,12639,13129,125,99,623,7413,6318,40,231,12183
Nagaa Hamada ,مركز نجع حمادى,296629,74082,1415,25.5%,278,171,148,6538,13385,122,119,539,24498,7427,73,394,20390
Na'ada district,مركز نقاده,98867,25256,650,26.2%,68,54,52,4042,4493,29,46,304,6661,3347,25,119,6016
Farshut district,مركز فرشوط,97695,24688,554,25.8%,107,48,56,2456,6834,53,48,167,6443,1360,25,96,6995
Qaft district,مركز قفط,76441,17794,389,23.8%,51,39,116,5027,4153,36,44,234,1599,2749,6,103,3637
El Waqf district,مركز الوقف,45018,10670,259,24.3%,35,22,22,2248,2719,14,28,84,1505,792,9,38,3154
Total,الإجمالي,1601297,387625,7913,24.7%,1395,825,886,74929,78779,832,704,3686,83858,42277,338,1848,97268
