district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Shibin El Kom,شبين الكوم,135232,84209,1060,63.1%,61,37,37,3764,16635,105,49,1195,35381,14346,22,681,11896
Sers El Lyan,سرس الليان,37876,22647,376,60.8%,22,15,13,552,2716,22,21,481,11269,3237,14,135,4150
Menuf,منوف,66265,35395,637,54.4%,33,21,19,1118,3822,51,25,461,20356,6689,7,243,2550
Shibin El Kom district,مركز شبين الكوم,247778,129159,1931,52.9%,141,65,64,3867,19165,121,75,1357,69365,13446,41,775,20677
AshmoUn district,مركز اشمون,407233,200677,4137,50.3%,244,161,153,3618,18143,189,160,2062,126643,11292,102,744,37166
Bajour district,مركز الباجور,200793,105924,1775,53.6%,146,98,100,3748,12932,126,89,1192,60319,9608,46,554,16966
Shuhadaa district,مركز الشهداء,173226,84123,1559,49.5%,99,63,59,2456,11234,80,62,934,41287,6501,42,460,20846
Birket El Sab district,مركز بركة السبع,163797,85423,1113,52.8%,58,49,43,3100,11949,72,46,945,46674,9715,23,453,12296
Tala district,مركز تلا,210125,94049,1692,45.6%,121,88,63,5138,13336,112,67,1055,45029,9916,40,583,18501
Qouesna district,مركز قويسنا,251887,138883,2437,56.1%,96,81,76,3889,17485,128,89,1776,78660,12085,41,643,23834
Menuf district,مركز منوف,225384,105861,2288,48.0%,119,78,78,1706,10509,113,80,1232,60143,7062,44,535,24162
Sadat district,مركز السادات,87433,42466,686,49.4%,48,29,27,3059,9661,44,15,400,8689,5163,21,249,15061
Total,الإجمالي,2207029,1128816,19691,52.0%,1188,785,732,36015,147587,1163,778,13090,603815,109060,443,6055,208105
