district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
El Menya,المنيا,180569,99873,1624,56.2%,99,81,75,6953,18808,121,69,1508,33657,15828,28,672,21974
Malwa,ملوى,102442,49848,998,49.6%,73,63,33,2683,9063,48,41,422,18440,5643,31,225,13083
El Menya el-Gedida,المنيا الجديدة,2413,1736,11,72.4%,1,1,0,96,418,3,0,45,441,308,1,7,415
Abu Qarqas,مركز المنيا,321506,110956,3830,35.7%,209,156,149,6264,15773,156,108,861,30613,4818,115,438,51296
Abu Qarqas district,مركز ابوقرقاص,297902,91315,3419,31.8%,243,170,138,5225,13817,139,132,621,29857,5048,109,420,35396
Beni Mazar district,مركز بنى مزار,301000,117076,5056,40.6%,233,133,126,7269,19378,177,143,734,27258,6230,131,542,54722
Deer Mawas district,مركز دير مواس,189113,63034,2970,34.9%,242,145,102,3709,7352,127,110,485,11818,3571,132,377,34864
Samallut district,مركز سمالوط,360988,130082,5734,37.6%,237,174,143,6573,20754,181,108,846,38481,6302,175,444,55664
Al Adwah district,مركز العدوه,124133,41907,1752,35.2%,118,103,58,1965,8553,78,62,261,6291,1894,58,195,22271
Mataya district,مركز مطايا,157873,66282,2886,43.8%,129,82,68,4095,8665,88,79,531,20132,3368,78,240,28727
Magaga district,مركز مغاغا,274794,99212,5024,37.9%,218,142,126,5289,13956,148,116,615,22709,6180,168,441,49104
Malwa district,مركز ملوى,345041,94803,5097,29.0%,380,247,213,6452,13972,194,179,736,26082,5247,199,463,40439
Total,الإجمالي,2657774,966124,38401,37.8%,2182,1497,1231,56573,150509,1460,1147,7665,265779,64437,1225,4464,407955
